date,open,high,low,close,volume,Adj Close
2016-01-05,3382.177,3518.217,3377.28,3478.78,162116992.0,3478.78
2016-01-04,3725.856,3726.245,3468.949,3469.066,115370672.0,3469.066
2015-12-31,3760.904,3772.617,3727.325,3731.005,101873552.0,3731.005
2015-12-30,3762.914,3765.657,3726.278,3765.175,105629952.0,3765.175
2015-12-29,3723.05,3762.052,3710.48,3761.875,101885552.0,3761.875
2015-12-28,3847.532,3853.389,3727.632,3727.632,153988448.0,3727.632
2015-12-25,3832.085,3848.025,3813.204,3838.201,119624016.0,3838.201
2015-12-24,3858.135,3867.679,3787.084,3829.402,147181392.0,3829.402
2015-12-23,3877.872,3926.686,3862.965,3866.381,207017152.0,3866.381
2015-12-22,3872.098,3880.468,3841.593,3876.733,180303664.0,3876.733
2015-12-21,3762.097,3877.82,3759.989,3865.965,217435280.0,3865.965
2015-12-18,3754.96,3810.218,3750.925,3767.913,173465984.0,3767.913
2015-12-17,3712.783,3768.844,3709.851,3755.888,177924080.0,3755.888
2015-12-16,3703.95,3713.09,3677.45,3685.44,111342720.0,3685.44
2015-12-15,3707.73,3717.357,3679.23,3694.389,126481712.0,3694.389
2015-12-14,3573.884,3712.503,3570.998,3711.322,151769120.0,3711.322
2015-12-11,3605.372,3630.744,3578.146,3608.059,110322480.0,3608.059
2015-12-10,3634.366,3678.318,3615.991,3623.084,120215624.0,3623.084
2015-12-09,3613.42,3655.159,3611.49,3635.938,113325424.0,3635.938
2015-12-08,3668.839,3668.839,3619.445,3623.02,125781080.0,3623.02
2015-12-07,3681.582,3699.337,3658.578,3687.607,113883152.0,3687.607
2015-12-04,3719.734,3726.124,3667.291,3677.592,151199520.0,3677.592
2015-12-03,3709.547,3758.446,3693.137,3749.299,197762128.0,3749.299
2015-12-02,3587.758,3725.854,3573.403,3721.955,213538864.0,3721.955
2015-12-01,3562.319,3617.305,3536.116,3591.696,136536560.0,3591.696
2015-11-30,3554.89,3587.97,3455.068,3566.412,173201168.0,3566.412
2015-11-27,3739.096,3742.742,3534.39,3556.992,208939360.0,3556.992
2015-11-26,3795.245,3805.844,3756.823,3759.429,173525472.0,3759.429
2015-11-25,3747.759,3781.857,3735.716,3781.607,151944944.0,3781.607
2015-11-24,3745.761,3754.169,3702.737,3753.889,143383280.0,3753.889
2015-11-23,3774.436,3802.851,3743.405,3753.335,175626816.0,3753.335
2015-11-20,3778.884,3793.545,3757.026,3774.383,186951696.0,3774.383
2015-11-19,3725.622,3775.232,3714.675,3774.969,154631984.0,3774.969
2015-11-18,3760.456,3771.847,3706.31,3715.58,185689488.0,3715.58
2015-11-17,3790.426,3852.774,3750.157,3758.387,248533072.0,3758.387
2015-11-16,3682.735,3764.409,3680.073,3764.126,161690896.0,3764.126
2015-11-13,3756.204,3793.713,3727.585,3746.242,203489888.0,3746.242
2015-11-12,3841.738,3843.9,3771.274,3795.324,217537648.0,3795.324
2015-11-11,3828.448,3843.112,3781.41,3833.646,232234304.0,3833.646
2015-11-10,3806.669,3876.49,3798.821,3833.238,286519616.0,3833.238
2015-11-09,3796.379,3891.773,3796.379,3840.355,356804832.0,3840.355
2015-11-06,3698.342,3801.705,3694.657,3793.374,298753088.0,3793.374
2015-11-05,3630.782,3781.409,3627.301,3705.97,398046560.0,3705.97
2015-11-04,3477.159,3628.538,3477.159,3628.538,205423872.0,3628.538
2015-11-03,3484.722,3501.704,3452.62,3465.493,101401872.0,3465.493
2015-11-02,3489.225,3543.45,3474.712,3475.962,130002568.0,3475.962
2015-10-30,3530.223,3574.473,3497.568,3534.079,139141920.0,3534.079
2015-10-29,3539.978,3561.814,3507.966,3533.307,127010448.0,3533.307
2015-10-28,3575.805,3598.172,3517.21,3524.92,170977104.0,3524.92
2015-10-27,3569.449,3601.053,3486.102,3592.879,192056144.0,3592.879
2015-10-26,3614.702,3620.756,3561.192,3589.261,204248864.0,3589.261
2015-10-23,3536.843,3581.836,3515.822,3571.241,198294480.0,3571.241
2015-10-22,3453.201,3530.766,3442.307,3524.534,184305584.0,3524.534
2015-10-21,3580.838,3601.243,3417.412,3473.254,282076064.0,3473.254
2015-10-20,3527.875,3577.798,3510.437,3577.703,179025104.0,3577.703
2015-10-19,3548.953,3572.995,3502.505,3534.182,207606752.0,3534.182
2015-10-16,3508.518,3537.539,3487.104,3534.065,208964704.0,3534.065
2015-10-15,3403.389,3486.815,3402.316,3486.815,171158304.0,3486.815
2015-10-14,3431.135,3458.702,3403.231,3406.112,152173936.0,3406.112
2015-10-13,3422.477,3452.045,3413.967,3445.043,145433792.0,3445.043
