datetime,000300.SH,000300.SH_position,000300.SH_price,cash,commission,order,total,returns,equity_curve,000300.SH_return,drawdown
2008-12-26,0.0,0.0,1862.1,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.00463445533123,1.7627829673
2008-12-29,0.0,0.0,1854.76,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.00394178615542,1.7627829673
2008-12-30,0.0,0.0,1833.43,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.0115001401799,1.7627829673
2008-12-31,0.0,0.0,1817.72,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.00856863910812,1.7627829673
2009-01-05,0.0,0.0,1882.96,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,0.0358911163436,1.7627829673
2009-01-06,0.0,0.0,1942.8,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,0.0317797510303,1.7627829673
2009-01-07,0.0,0.0,1931.18,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.00598105826642,1.7627829673
2009-01-08,0.0,0.0,1887.99,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.0223645646703,1.7627829673
2009-01-09,193879.50036,101.064706162,1918.37,0.101064706163,0.0,BUY,193879.601425,0.0160911784007,1.93879601425,0.0160911869237,1.73207950957
2009-01-12,194113.970478,101.064706162,1920.69,0.101064706163,0.0,BUY,194114.071543,0.0012093593992,1.94114071543,0.00120936002961,1.72973480838
2009-01-13,189615.580407,101.064706162,1876.18,0.101064706163,0.0,BUY,189615.681472,-0.0231739514581,1.89615681472,-0.0231739635235,1.77471870909
2009-01-14,197605.756076,101.064706162,1955.24,0.101064706163,0.0,BUY,197605.857141,0.0421387915132,1.97605857141,0.0421388139731,1.6948169524
2009-01-15,197568.362135,101.064706162,1954.87,0.101064706163,0.0,BUY,197568.463199,-0.000189234984332,1.97568463199,-0.000189235081115,1.69519089182
2009-01-16,201139.988851,101.064706162,1990.21,0.101064706163,0.0,BUY,201140.089915,0.018077919208,2.01140089915,0.0180779284556,1.65947462466
2009-01-19,203388.678563,101.064706162,2012.46,0.101064706163,0.0,BUY,203388.779627,0.0111797191353,2.03388779627,0.0111797247527,1.63698772754
2009-01-20,204675.232272,101.064706162,2025.19,0.101064706163,0.0,BUY,204675.333337,0.00632558842134,2.04675333337,0.00632559156455,1.62412219044
2009-01-21,204323.527095,101.064706162,2021.71,0.101064706163,0.0,BUY,204323.628159,-0.00171835644144,2.04323628159,-0.00171835728993,1.62763924222
2009-01-22,206631.844983,101.064706162,2044.55,0.101064706163,0.0,BUY,206631.946048,0.0112973614923,2.06631946048,0.0112973670803,1.60455606333
2009-01-23,205432.206921,101.064706162,2032.68,0.101064706163,0.0,BUY,205432.307986,-0.00580567567158,2.05432307986,-0.00580567851116,1.61655244395
2009-02-02,207896.164457,101.064706162,2057.06,0.101064706163,0.0,BUY,207896.265522,0.0119940118494,2.07896265522,0.01199401775,1.59191286859
2009-02-03,213136.369472,101.064706162,2108.91,0.101064706163,0.0,BUY,213136.470537,0.0252058640945,2.13136470537,0.0252058763478,1.53951081844
2009-02-04,218947.590076,101.064706162,2166.41,0.101064706163,0.0,BUY,218947.691141,0.0272652568079,2.18947691141,0.0272652697365,1.4813986124
2009-02-05,217387.151013,101.064706162,2150.97,0.101064706163,0.0,BUY,217387.252078,-0.00712699483154,2.17387252078,-0.00712699812132,1.49700300303
2009-02-06,226110.045802,101.064706162,2237.28,0.101064706163,0.0,BUY,226110.146867,0.0401260639962,2.26110146867,0.0401260826511,1.40977405514
2009-02-09,232112.278701,101.064706162,2296.67,0.101064706163,0.0,BUY,232112.379766,0.0265456149675,2.32112379766,0.0265456268326,1.34975172615
2009-02-10,235153.315709,101.064706162,2326.76,0.101064706163,0.0,BUY,235153.416774,0.0131015717967,2.35153416774,0.0131015775013,1.31934135607
2009-02-11,235595.979122,101.064706162,2331.14,0.101064706163,0.0,BUY,235596.080187,0.00188244516734,2.35596080187,0.00188244597638,1.31491472194
2009-02-12,234302.350883,101.064706162,2318.34,0.101064706163,0.0,BUY,234302.451948,-0.00549087335344,2.34302451948,-0.00549087570888,1.32785100433
2009-02-13,242461.304612,101.064706162,2399.07,0.101064706163,0.0,BUY,242461.405677,0.0348223147501,2.42461405677,0.0348223297704,1.24626146704
2009-02-16,248845.5621,101.064706162,2462.24,0.101064706163,0.0,BUY,248845.663165,0.0263310256345,2.48845663165,0.02633103661,1.18241889216
2009-02-17,241068.632961,101.064706162,2385.29,0.101064706163,0.0,BUY,241068.734026,-0.0312520179787,2.41068734026,-0.0312520306713,1.26018818355
